output_metric,input_parameter,sensitivity_score,rank,interpretation_note
attack_success_rate,average_command_latency_ms,0.573,1,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,human_approval_threshold,0.5697,2,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,quarantine_enabled,0.5621,3,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,prompt_filter_strictness,0.5265,4,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,false_positive_rate,0.5071,5,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,firmware_signature_required,0.5005,6,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,recovery_enabled,0.5005,7,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,compromised_device_percentage,0.4975,8,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,total_operational_friction_score,0.4772,9,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,availability_rate,0.2389,10,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,attack_temperature,0.2135,11,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,human_approval_delay_minutes,0.1015,12,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,temperature_change_rate,0.036,13,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,hvac_power_kw,0.0285,14,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
attack_success_rate,ambient_temperature,0.0173,15,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,compromised_device_percentage,0.3449,1,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,human_approval_threshold,0.2645,2,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,quarantine_enabled,0.2624,3,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,average_command_latency_ms,0.2554,4,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,prompt_filter_strictness,0.2358,5,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
load_spike_kw,false_positive_rate,0.2256,6,"Sensitivity scores are approximate simulation-based rankings, not causal proof. Some variables are bundled by security configuration, so correlations may reflect configuration design. Full causal interpretation would require a factorial design or controlled one-factor-at-a-time experiment."
